Season,Name,Team,GS,IP,vFA (pi),ERA,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,NameASCII,PlayerId,MLBAMID
2025,"Jason Alexander","HOU",13,68.1,91.76658412388393,3.819512479420172,27.71099853515625,,25.000213623046875,,,19.322952665441175,20.377431412189328,,,,22.845786556810225,,,17.88239288330078,20.406959307969675,,,"Jason Alexander",19666,669920
2025,"Tylor Megill","NYM",14,68.1,95.71447566105769,3.9512198062967294,35.269152621161226,,,,,34.51589133522727,36.139608980429294,37.61662454044118,,,32.48401839009831,,,36.139608980429294,,37.61662454044118,,"Tylor Megill",21318,656731
2024,"Kenta Maeda","DET",17,70.1,90.53788034539474,7.421801484586272,38.00678132709704,,37.995387486049104,39.16560045538102,,38.503844544127745,37.74996203428726,46.49191080729167,,,,,,37.86704799107143,37.462478865438435,46.49191080729167,,"Kenta Maeda",18498,628317
2025,"Zach Eflin","BAL",14,71.1,92.00828721788194,5.929906964874764,22.79102240668403,,23.28791254783163,,,22.566830041273583,24.03596391018082,26.01768812242445,,,24.197046558277027,,,,24.03596391018082,26.01768812242445,,"Zach Eflin",13774,621107
2024,"Dane Dunning","TEX",15,71.2,89.65413936491936,5.02325599220652,41.47625732421875,,38.53773600260417,,30.641279220581055,38.002486577643175,38.83526527718322,,42.0977783203125,,38.528089819487576,,,38.83526527718322,,,,"Dane Dunning",19409,641540
2025,"Yu Darvish","SDP",15,72,93.80017546791444,5.375,27.18395144440407,,26.03704530972961,26.901383066565042,,25.294860343622968,31.815193479241877,45.45408792335894,41.251290457589285,,34.98274230957031,,,32.79099022308526,30.191993126502403,45.45408792335894,,"Yu Darvish",13074,506433
2024,"Ross Stripling","OAK",14,72.1,91.87225566572238,5.7235027066070066,60.84607248388252,,58.55086568961466,,,57.50787984913793,63.86922111092033,,68.99128474745639,,59.26302241353155,,,63.86922111092033,,,,"Ross Stripling",13273,548389
2025,"Michael King","SDP",15,73.1,93.81741240530303,3.436363874703416,34.959408538510104,,,,,23.514971245659723,27.991979858803987,,,,19.950047518558428,,,28.4945068359375,27.839700013528137,,,"Michael King",19853,650633
2024,"Merrill Kelly","ARI",13,73.2,91.9974421417364,4.0316743473268515,23.370167323521205,,24.1510014018946,,,24.492066160647454,27.363434293376866,30.62325494939631,,,26.135260035303347,,,27.363434293376866,,30.62325494939631,,"Merrill Kelly",11156,518876
2024,"Taijuan Walker","PHI",15,74,91.75908460115132,7.175675675675675,37.31566045055651,,38.093697415865385,36.26361194156137,,39.309328854739015,38.32367421514977,36.99433520324248,,,,,,,38.32367421514977,36.99433520324248,,"Taijuan Walker",11836,592836
2025,"Eric Lauer","TOR",15,74,91.45681498702422,3.77027027027027,40.18450927734375,,37.72606729277482,,,,40.179261818910255,39.56077336690512,,,35.35602438038793,,,40.179261818910255,,39.56077336690512,,"Eric Lauer",19316,641778
2024,"Paul Blackburn","- - -",14,75.1,92.17164120431674,4.659292114043313,50.556028204449156,,49.65894377633427,,,49.549397786458336,46.657148002397896,51.044121967098576,,,50.35237295769121,,,46.657148002397896,,51.044121967098576,,"Paul Blackburn",14739,621112
2024,"Walker Buehler","LAD",16,75.1,95.01657104492188,5.376106557667593,46.590538418170105,,46.19171537769784,,,37.86359482511468,43.80248062253937,,51.861297607421875,,40.34728119338768,,,45.29485724954044,43.57184392755682,,,"Walker Buehler",19374,621111
2025,"Pablo López","MIN",14,75.2,94.67278746380309,2.735682911328653,34.60994701348748,,,,,34.981403629954265,33.934241134129216,41.723207535282256,,,35.41044153792135,,,,33.934241134129216,41.723207535282256,,"Pablo Lopez",17085,641154
2024,"Tylor Megill","NYM",15,76,95.7837679220517,4.026315789473684,37.131839087701614,,36.43274259306694,34.79357253864247,,34.74246002906977,36.737681127793294,39.39904899240654,,,36.41103820800781,,,36.88283979522515,35.43932427300347,39.39904899240654,,"Tylor Megill",21318,656731
2025,"Griffin Canning","NYM",16,76.1,94.3294690860215,3.7729260155907522,43.82620140388769,,40.218802657781865,,,44.19597625732422,43.922541469194314,,41.62799984285201,,38.293704342532465,,,43.922541469194314,,,,"Griffin Canning",19867,656288
2024,"Bowden Francis","TOR",13,77,92.93276139018691,2.9220779220779223,38.64469431238405,,,39.029451069078945,,39.41660970052083,42.60836815649225,43.998194934475805,,,,,,42.60836815649225,,43.998194934475805,,"Bowden Francis",20548,670102
2025,"Clarke Schmidt","NYY",14,78.2,94.31873739919355,3.3177967174270346,40.3620263671875,,36.735327935987904,,,28.14148681640625,28.469418006921824,,41.328865085482065,,,,,27.780196177808545,29.200267407718123,,,"Clarke Schmidt",19899,657376
