Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Andrew Vasquez","- - -",28.932810691095167,,,,,27.859633718218124,21.868962256917023,-19.204526701638866,,,-20.854106022761417,,,21.868962256917023,,-19.204526701638866,,0.29620643618529197,"Andrew Vasquez",19482,607755
"Domingo Tapia","- - -",33.17282975803722,,38.41606140136719,,,31.28813740686717,38.86004918292888,,,,41.03546216410975,,,38.86004918292888,,,,0.2952272215203846,"Domingo Tapia",12178,593619
"Caleb Baragar","SFG",44.41615644975142,,,,,19.365278244018555,45.68276058378674,39.19274271750937,,,41.247005462646484,,,45.68276058378674,,39.19274271750937,,0.28544983325526885,"Caleb Baragar",19231,670056
"Brady Basso","OAK",53.970762031956724,,53.98529039465863,,,52.37895729428246,,58.90969480666439,,,50.846423248746504,,,,,58.90969480666439,,0.284574109738414,"Brady Basso",25582,669620
"Dillon Peters","- - -",47.553329384586895,,,,,46.55372180549466,43.2348338462211,48.808561211540585,,,47.63077152439806,,,43.2348338462211,,48.808561211540585,,0.2835726394741038,"Dillon Peters",18790,596071
"Chris Ellis","- - -",40.017916418004916,,,,,,39.29446308264571,45.96080879798302,,,39.27397111745981,,,39.29446308264571,,45.96080879798302,,0.28315137713180494,"Chris Ellis",16125,595939
"Wikelman González","CHW",25.92138155877302,,,,,,31.365496384470088,30.720090821731922,,,27.38770063299882,,,31.365496384470088,,,30.720090821731922,0.28267461340912825,"Wikelman Gonzalez",26641,682790
"Nick Tropeano","- - -",30.291914621988933,,,32.10547276547081,,31.915130615234375,31.758403288115055,,,,32.1116104888916,,,31.758403288115055,,,,0.2777055594248345,"Nick Tropeano",12385,607374
"Andrew Miller","STL",16.694655675829555,,,,,15.536578883295475,11.441097579839575,52.7381591796875,,,,,,11.441097579839575,,52.7381591796875,,0.27662940938642755,"Andrew Miller",6785,453192
"Jake Woodford","- - -",42.360673626847515,,29.22903611174727,,,34.806762641866655,34.8028703538414,47.03864463683097,,,34.46911711751679,,,42.75382090526022,33.5106350185955,47.03864463683097,,0.27517789990137376,"Jake Woodford",18674,663765
"Scott Alexander","- - -",37.39273452758789,,,,,35.67680121628255,38.50589348397604,,,,39.09795823860994,,,38.50589348397604,,,,0.27414421447261295,"Scott Alexander",10591,518397
"Shawn Dubin","- - -",40.059511844580776,,38.865023208876785,,,35.13657610603933,32.89468133826005,42.07484156604657,,,35.985107707162186,,,,32.89468133826005,42.07484156604657,,0.27325748315636755,"Shawn Dubin",24977,681869
"Juan Minaya","MIN",31.758528361388294,,,,,,32.66799571467381,,,,34.60838376151191,,,32.66799571467381,,,,0.26938575801131004,"Juan Minaya",10341,573668
