Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,ERA,NameASCII,PlayerId,MLBAMID
"Jesse Scholtens","- - -",49.366431591178795,,,38.25397178649902,,38.631026640392484,46.629856910234615,53.198354729049875,,,48.880282440185546,,,47.36520333125674,40.35778647030101,53.198354729049875,,4.848066558572748,"Jesse Scholtens",19205,669947
"David Robertson","- - -",49.37908808390299,,43.749106829369644,,,42.47246274081144,40.881279700799574,45.65982437133789,42.68121101635212,,42.20710412049905,,,40.881279700799574,,45.65982437133789,,3.0043355020703,"David Robertson",8241,502085
"Daniel Ponce de Leon","STL",49.391994258584496,,43.635774321903455,,,54.35930633544922,30.74127197265625,50.30365632108585,,,43.19962092808315,,,30.74127197265625,,50.30365632108585,,5.590909270154056,"Daniel Ponce de Leon",16110,594965
"Ty Adcock","- - -",49.39993691746193,,46.75652964522199,45.08136138916016,,49.836727142333984,48.22121815400965,,,,,,,48.22121815400965,,,,5.478262033715162,"Ty Adcock",25651,686654
"Zack Weiss","- - -",49.400605635209516,,48.5465579855031,,,48.1338996887207,44.89557349285956,,,,,,,44.89557349285956,,,,3.292683568261888,"Zack Weiss",15444,592848
"Justin Wilson","- - -",49.41374034656536,,47.64806171856095,47.13804443359375,,43.5659423828125,49.40048571995327,,,,,,,49.40048571995327,,,,4.490154575456442,"Justin Wilson",4301,458677
"Caleb Smith","- - -",49.44596821382686,,,,,,45.626814442414506,49.20870955785116,,,45.20229617200756,,,45.626814442414506,,49.20870955785116,,4.416526456127776,"Caleb Smith",14875,592761
"Walker Buehler","- - -",49.46639011997545,,45.87640523996542,,,37.61400274779666,45.96895771520141,,52.56526655444926,,39.08347357664591,,,47.230675858950356,41.79494676433626,,,3.866544786391751,"Walker Buehler",19374,621111
"Paul Blackburn","- - -",49.50180918984209,,49.47398305861331,,,48.45686282577975,45.2318150294867,49.90928084813014,,,49.17202474469337,,,46.60490149250631,37.845938651792466,49.90928084813014,,4.875322657967907,"Paul Blackburn",14739,621112
"Braydon Fisher","TOR",49.50641059109485,,47.903872626168386,,,45.97908401489258,48.908696038382395,49.66397794087728,,,,,,48.908696038382395,,49.66397794087728,,2.848624555741797,"Braydon Fisher",24609,680755
"Andrew Chafin","- - -",49.5783135243132,,,,,49.336760719940266,45.60459646869561,,,,44.047110080718994,,,45.60459646869561,,,,3.151625318113846,"Andrew Chafin",12988,605177
"Sean Nolin","- - -",49.62062717148982,,39.995081894270335,,,29.447896321614582,33.35372304916382,47.24631374697142,47.0085391998291,,44.7311880177465,,,49.24312973022461,31.083807809012278,47.24631374697142,,5.764045270012889,"Sean Nolin",11341,543594
"Luinder Avila","KCR",49.70883181378558,,,,,50.145766764673695,43.10753051757813,50.58296915888786,,,42.61163846908077,,,43.10753051757813,,50.58296915888786,,3.375000153160238,"Luinder Avila",24452,679883
"Justin Grimm","- - -",49.75420937171349,,,,,,41.418398468582716,52.6543607297151,,,,,,41.418398468582716,,52.6543607297151,,7.20000146985084,"Justin Grimm",11720,518748
"Kade Strowd","BAL",49.75560206095378,,45.269967907203174,,,46.154378984795244,43.31058203005323,44.63134479522705,,,,,,,43.31058203005323,44.63134479522705,,1.7088610392754935,"Kade Strowd",26191,669704
"Dylan Smith","- - -",49.755670166015626,,,46.58715108235677,,47.9296989440918,47.4879885814229,,,,,,,,47.4879885814229,,,1.3170733296538073,"Dylan Smith",30145,681916
"Aaron Ashby","MIL",49.76469042742694,,,,,48.74458089272404,46.2786508025811,50.57436519080882,,,45.58362461095036,,,46.2786508025811,,50.57436519080882,,3.448276209349333,"Aaron Ashby",23550,676879
"Drew VerHagen","STL",49.78550252318382,,46.73563395606147,,,47.09144533280846,47.27177695127634,55.796010971069336,,,48.625486384324034,,,47.521644592285156,47.26935105184907,55.796010971069336,,4.6814527442380145,"Drew VerHagen",13424,572403
"Patrick Murphy","- - -",49.887633992914566,,,,,29.06650021921591,,39.81332400562317,,,20.441561562674387,,,,,39.81332400562317,,4.764706685424753,"Patrick Murphy",19712,641907
"Carl Edwards Jr.","- - -",50.155185177322366,,,,,47.7232977549235,,55.58073632711496,,,50.39327671153335,,,,,55.58073632711496,,3.4137934858464885,"Carl Edwards Jr.",13607,605218
"Jordan Weems","- - -",50.15555010417262,,,51.09361082507718,,,48.85544410835153,50.007227685716416,,,49.66521136614741,,,48.85544410835153,,50.007227685716416,,5.512500827587334,"Jordan Weems",13190,607179
"Anthony Swarzak","- - -",50.17176998362822,,,,,48.41184870402018,49.592109061576224,,,,,,,49.592109061576224,,,,9.486487510389031,"Anthony Swarzak",7466,461872
"Jacob Latz","TEX",50.19620456441995,,,,,,49.67438584274627,54.73576672132625,,,48.03622626312508,,,49.67438584274627,,54.73576672132625,,2.944444920034806,"Jacob Latz",21306,656641
"Tanner Banks","- - -",50.27161677767722,,,,,50.032847137925046,47.4585413164049,43.132597686767575,46.2093620300293,,49.42987914778229,,,47.838590354318896,45.84443778769914,43.132597686767575,,3.819188612724471,"Tanner Banks",16990,621383
"Mark Leiter Jr.","- - -",50.2730038862962,,44.83990085851527,50.668613721089194,,47.19886768225467,46.50414034672555,52.36197821121642,,,0,,,46.06332194654247,46.874615385177286,52.36197821121642,,4.394532196443127,"Mark Leiter Jr.",15551,643410
"Mike Baumann","- - -",50.36181585688875,,,,,45.92387008666992,47.909173133496985,,49.73256941748112,,45.61116223457532,,,47.909173133496985,,,,4.94820806552365,"Mike Baumann",20206,657508
"Drew Steckenrider","SEA",50.4102463351979,,,,,,53.036061180962456,51.34367995995741,,,50.85736023486974,,,53.036061180962456,,51.34367995995741,,2.6341466344161986,"Drew Steckenrider",18806,608716
"Anthony Molina","- - -",50.434060235742685,,49.444353277033024,,,,49.57857681653515,53.47545820157203,50.824222564697266,,47.470402161971386,,,49.57857681653515,,53.47545820157203,,6.820069846969146,"Anthony Molina",26952,683627
"Ricardo Pinto","PHI",50.435112448299634,,,48.54185300884825,,46.154498976104115,49.65728035951272,,,,,,,48.80430285135905,51.022046407063804,,,10.96875071508116,"Ricardo Pinto",16318,620982
"Isaiah Campbell","- - -",50.44180692276865,,45.89972686767578,,,44.431975500924246,46.75234518905529,45.75815054086539,,,,,,48.167544777418094,43.45401800832441,45.75815054086539,,5.651163707203857,"Isaiah Campbell",25551,663462
"Michael Grove","LAD",50.49361205063229,,50.62385662323838,,,52.36671216560133,52.989530037460014,,52.54648229211645,,47.11550045013428,,,52.989530037460014,,,,5.4843753356503395,"Michael Grove",23221,675627
"Beau Brieske","DET",50.50238717021575,,,,,50.09206715824794,46.64137144041766,48.4313170763911,,,45.92351816722325,,,46.64137144041766,,48.4313170763911,,4.1437806898038385,"Beau Brieske",26079,689225
"Will Klein","- - -",50.56373173640325,,50.524818115234375,,,,40.239302498953684,54.183016195805116,,,,,,43.501078957005554,38.5643357972841,54.183016195805116,,4.153846899786073,"Will Klein",27787,694361
"Tyler Wells","BAL",50.64622743586276,,50.07898000441958,,,,51.24093909523704,53.76838976510913,,,49.91507197535315,,,51.654188131778795,48.8131010055542,53.76838976510913,,3.941410331478272,"Tyler Wells",20000,669330
"Adam Mazur","- - -",50.717957073709236,,,,,53.130046029692714,51.922633557836114,57.87262287290078,,,50.009613792494974,,,52.415577512112854,49.153934733072916,57.87262287290078,,6.219895629577497,"Adam Mazur",31900,800049
"Jhony Brito","- - -",50.72743105126833,,,,,49.920171840607175,47.764346134712504,,52.1143526019472,,52.455644175691425,,,52.00975940845631,45.5878997271574,,,4.231343684479463,"Jhony Brito",25386,666745
"Chase De Jong","- - -",50.75225014009183,,,48.45251139888057,,48.97940368652344,47.68196193288733,45.74964554008396,,,34.44109719259697,,,47.68196193288733,,45.74964554008396,,5.238806268424775,"Chase De Jong",15036,608328
"Zach Plesac","- - -",50.76060233760309,,,,,51.5980224609375,50.927031647312184,52.60662934065726,,,47.93960976619058,,,50.927031647312184,,52.60662934065726,,4.462809988436385,"Zach Plesac",19979,668676
"Anthony Bass","- - -",50.766129526277865,,,47.39872049248737,,47.642344892802186,46.53578621319863,,,,,,,46.53578621319863,,,,2.9943616805801603,"Anthony Bass",7982,542914
"Gordon Graceffo","STL",50.76730491187568,,,,,48.55292574564616,48.09226346097861,54.34540497936965,,,42.520157928466794,,,48.09226346097861,,54.34540497936965,,4.786364302903753,"Gordon Graceffo",29519,700669
"Dugan Darnell","COL",50.77278945025276,,,52.067647552490236,,,50.360545231745796,,,,,,,50.360545231745796,,,,3.8571433924899554,"Dugan Darnell",27812,699911
"Jefry Rodriguez","WSN",50.8573964676767,,49.572540283203125,,,51.0227678800884,37.18305206298828,55.67679650442941,,,53.91460577646891,,,37.18305206298828,,55.67679650442941,,5.9178085501633975,"Jefry Rodriguez",17018,622446
"Derek Law","- - -",50.871603413414284,,48.60210976486571,,,48.81594597508541,53.2410670356799,62.724725963833095,,,43.606733503132844,,,53.2410670356799,,62.724725963833095,,3.205937520787331,"Derek Law",13133,571882
"Jordan Wicks","CHC",50.9149755724597,,54.27156448364258,,,44.44920438335788,53.028519329271816,55.85429908233939,,,49.74758162733685,,,52.876756698366194,53.76398673424354,55.85429908233939,,5.210526525016645,"Jordan Wicks",30094,696136
"Wil Crowe","- - -",50.9418507058579,,,,,50.84374949689302,45.77557197749186,52.98705020074035,,,40.444194636440386,,,45.81500150884649,44.24908964974539,52.98705020074035,,5.2974688418002875,"Wil Crowe",19800,640444
"Dylan Bundy","- - -",50.98169974111421,,,,,53.28583448185416,46.07686112837358,53.4200071519421,,,49.561356139697615,,,46.07686112837358,,53.4200071519421,,4.889763891486025,"Dylan Bundy",12917,605164
"Clayton Beeter","- - -",50.98189121700939,,,,,,52.08127213751005,,,,,,,52.08127213751005,,,,4.118644737694024,"Clayton Beeter",27494,690925
"Javier Assad","CHC",51.05915980381923,,50.09235860566241,,,53.93982967887957,54.259255804196755,59.913504717219226,,,54.78538523670734,,,53.833033131014915,54.753196122118986,59.913504717219226,,3.6000001843546574,"Javier Assad",21741,665871
"Ryne Nelson","ARI",51.087382174049424,,48.01588536580404,,,51.364575010357484,46.908210303634405,52.62746136282372,,,43.03047916166823,,,47.06141384669713,43.49594974517822,52.62746136282372,,4.2890626844960105,"Ryne Nelson",26253,669194
"Andre Scrubb","HOU",51.22691345214844,,59.76870970549407,,,,57.099493238661026,,55.144682077261116,,53.16068013509115,,,57.099493238661026,,,,3.323078629534091,"Andre Scrubb",20329,668687
"Pedro Báez","- - -",51.233826024572274,,,,,,49.45860164980345,,,,52.552846908569336,,,49.45860164980345,,,,3.8028184593356897,"Pedro Baez",5420,520980
"Reymin Guduan","OAK",51.24997472420013,,,,,50.7854494367327,55.35480581995952,,,,,,,55.35480581995952,,,,6.27907037670519,"Reymin Guduan",13058,594056
"Peter Lambert","- - -",51.335773981534516,,48.75095421927316,,,47.666524147500795,51.1830619945321,56.00447120109614,,,50.207645432355534,,,51.08314186344834,51.54488472316576,59.923876155506484,53.37560260586622,5.243194512553234,"Peter Lambert",17969,663567
"Jharel Cotton","- - -",51.34484260754707,,52.62376185825893,,,,51.90585683521471,57.47123684460604,,,50.28724126980222,,,51.90585683521471,,57.47123684460604,,3.5429868816186496,"Jharel Cotton",13654,605194
"Bryce Elder","ATL",51.34870769824684,,48.56362881503262,,,51.09474712782332,53.465481693431165,,,,51.64140351111956,,,53.465481693431165,,,,4.267030125214331,"Bryce Elder",27779,693821
"Rico Garcia","- - -",51.374266186197296,,47.02807807922363,,,,46.16519155847021,51.27490600707039,,,47.29025023880227,,,46.16519155847021,,51.27490600707039,,3.7951812761532246,"Rico Garcia",20023,670329
"Michael Wacha","- - -",51.41187615168474,,47.296827100118,,,49.66976913135357,50.26401425196119,52.520170490822956,,,53.19397659970825,,,50.26401425196119,,52.520170490822956,,3.7842171094785746,"Michael Wacha",14078,608379
"Nestor Cortes","- - -",51.44296721060367,,44.11224901773096,,,24.154542714991468,36.05270510559483,36.64820408821106,,,42.096392659364575,,,40.03093745920918,35.76994539565557,36.64820408821106,,3.6949154079034683,"Nestor Cortes",17874,641482
"Matt Swarmer","CHC",51.61308318260579,,,,,,55.17152058709528,,,,51.785762786865234,,,55.17152058709528,,,,5.029412055665251,"Matt Swarmer",19705,664161
"Lazaro Estrada","TOR",51.64026769002279,,,52.19192759195963,,,47.985486430506555,53.44529893663194,,,,,,47.985486430506555,,53.44529893663194,,5.55882368533257,"Lazaro Estrada",24914,681751
"Max Fried","- - -",51.64083858326226,,46.191717953350654,,,48.42949000876655,45.62546761185325,52.56103755347804,,,42.12460459490038,,,47.267534951001274,41.94432382760982,52.56103755347804,,2.849345019882854,"Max Fried",13743,608331
"Blake Taylor","HOU",51.64648769568097,,,,,,52.363975250918564,,,,49.701202392578125,,,52.363975250918564,,,,3.0630267527290753,"Blake Taylor",16418,642130
"Alex Wells","BAL",51.70884760278855,,,,,,54.683001548051834,52.295492590927495,,,48.105631640833664,,,54.683001548051834,,52.295492590927495,,6.604316863946559,"Alex Wells",19845,649144
"Freddy Tarnok","- - -",51.775592397312224,,,,,43.70394388834635,51.44517175356547,50.50049864571049,,,48.85667737325033,,,51.44517175356547,,50.50049864571049,,3.9705886912232975,"Freddy Tarnok",23324,676206
"Kevin Herget","- - -",51.86545934331232,,45.32570304870605,,,49.043704986572266,43.637886634239784,53.53962755203247,,,47.87467118501663,,,44.368915817954324,42.10620771135603,53.53962755203247,,4.203593231460619,"Kevin Herget",15369,643361
"Beau Burrows","- - -",51.9183173666195,,,,,25.88193024529351,49.460658336821055,45.62059853293679,,,42.58497280544705,,,49.460658336821055,,45.62059853293679,,10.698117851618878,"Beau Burrows",18873,663366
"Jose E. Hernandez","PIT",52.007304903827134,,,,,17.283177185058594,53.700671183644296,,,,46.756826035519865,,,53.75336111563223,25.24812889099121,,,4.821430069908053,"Jose E. Hernandez",22318,669796
"Tyler Anderson","- - -",52.009168945358745,,45.55806414115845,36.152732849121094,,22.194384034211037,35.528938497815815,55.94155202938032,58.02989196777344,,54.46164558152975,,,35.55173056080656,33.71696853637695,55.94155202938032,,4.113689125279197,"Tyler Anderson",12880,542881
